case work,hmpps.probation.caseWork,HMPPS,police.national.intelligence; police.intelligenceSystems,structured,shared,
home office,homeOffice.homeOffice,Home Office,,structured,,
Independent Monitoring Board,independentMonitoringBoard,Independent Monitoring Board,hmpps.custodyCommunityAndContracts.auditsInspections,structured,shared,
Judicial Appointments Commission,judicialAppointmentsCommission,Judicial Appointments Commission,,structured,,
legal aid suppliers,laa.legalAidSuppliers,LAA,,structured,closed,
case information,laa.caseInformation,LAA,,structured,closed,Data Warehouse
client details,laa.clientDetails,LAA,,structured,closed,Data Warehouse
expenditure,laa.expenditure,LAA,,structured,closed,
means assessment results,laa.meansAssessment,LAA,,structured,closed,Data Warehouse
debt,laa.debt,LAA,debtCollectionAgencies,structured,shared,
case work - global,laa.caseWorkGlobal,LAA,hmcts.cases; costsDraftsmen; dwp.benefits,structured,shared,Data Warehouse
case work local,laa.caseWorkLocal,LAA,hmcts.cases; costsDraftsmen; dwp.benefits,structured,shared,Data Warehouse
Legal Services Board,legalServicesBoard,Legal Services Board,,structured,,
Local Authorities,localAuthorities,Local Authorities,youthOffendingInstitutions; secureChildrensHomes; secureTrainingCentres; yjb.case; educationProviders; NHS; youthOffendingTeams,structured,shared,
motor insurance cover,motorInsuranceBureau.motorInsuranceCover,Motor Insurance Bureau,police,structured,shared,
NHS Mental Health,NHS.mentalHealth,NHS,youthOffendingInstitutions; secureChildrensHomes; secureTrainingCentres; yjb.case; educationProviders;youthOffendingTeams; localAuthorities,structured,shared,
NHS medical records,NHS.medicalRecords,NHS,criminalInjuriesCompensationAuthority.cases,structured,shared,
Serious Fraud Office ,otherProsecutingAuthorities.seriousFraudOffice,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
HMRC,otherProsecutingAuthorities.HMRC,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Crown Office in Scotland,otherProsecutingAuthorities.crownOfficeInScotland,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Public Prosecution Service (DPPNI),otherProsecutingAuthorities.publicProsecutionService,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Post Office,otherProsecutingAuthorities.postOffice,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
RSPCA,otherProsecutingAuthorities.RSPCA,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
BEIS (Company fraud),otherProsecutingAuthorities.BEIS,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Medicines control,otherProsecutingAuthorities.medicinesControl,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Train Operating Companies,otherProsecutingAuthorities.trainOperatingCompanies,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Transport For London,otherProsecutingAuthorities.transportForLondon,Other prosecuting bodies,otherProsecutingAuthorities,structured,,
Parole Board,paroleBoard,Parole Board,,structured,,
bail,police.national.bail,Police,,structured,closed,PND; PNC
